Australian Bureau of Statistics

"2021 Census - counting persons, place of enumeration"
"INCP Total Personal Income (weekly) by 1-digit level OCCP Occupation"
"Counting: Person Records"

Filters:
"Default summation","Person Records"

"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Overseas visitor","Total",
"INCP Total Personal Income (weekly)",
"Negative income",5531,1753,1980,1294,1092,1070,982,1833,993,1172,129101,0,146805,
"Nil income",11434,6728,5022,5850,7167,6654,2319,7520,1962,3246,1611669,0,1669570,
"$1-$149 ($1-$7,799)",9111,21051,11677,56662,15370,109699,7934,74449,2667,3309,367894,0,679812,
"$150-$299 ($7,800-$15,599)",15539,30137,20772,66288,28920,89998,13074,64223,2893,3433,669790,0,1005072,
"$300-$399 ($15,600-$20,799)",22294,34158,31464,72642,40031,69939,16238,62936,3601,4233,1216065,0,1573594,
"$400-$499 ($20,800-$25,999)",27479,40526,55086,92049,53519,76139,21851,76724,4107,4659,1129476,0,1581612,
"$500-$649 ($26,000-$33,799)",47776,72716,103492,159689,99993,109670,39770,119632,6994,6072,745357,0,1511161,
"$650-$799 ($33,800-$41,599)",67371,102311,139412,198188,140115,114646,66963,147673,9512,7148,445602,0,1438936,
"$800-$999 ($41,600-$51,999)",109499,161338,203895,214640,213756,115531,129162,183499,14961,8951,325368,0,1680606,
"$1,000-$1,249 ($52,000-$64,999)",163760,285557,259902,189800,290978,93336,146406,148306,19017,8244,261492,0,1866801,
"$1,250-$1,499 ($65,000-$77,999)",148961,341992,199310,108020,221877,56013,91550,72959,14876,5192,142106,0,1402863,
"$1,500-$1,749 ($78,000-$90,999)",158609,392653,164629,75135,156632,41934,68430,45924,13235,3933,107909,0,1229021,
"$1,750-$1,999 ($91,000-$103,999)",135289,350135,110317,48423,87646,25836,49119,28041,9879,2650,61269,0,908593,
"$2,000-$2,999 ($104,000-$155,999)",356178,639162,164353,68703,108366,38654,72437,31375,14348,3350,78139,0,1575067,
"$3,000-$3,499 ($156,000-$181,999)",114143,134071,34796,7821,21035,9977,13288,5090,3437,892,21809,0,366363,
"$3,500 or more ($182,000 or more)",239630,257444,32328,6835,29079,19667,9293,5549,6997,1785,54109,0,662715,
"Not stated",13175,15185,15873,10161,9737,7676,7063,10390,4337,24403,1368221,0,1486211,
"Not applicable",0,0,0,0,0,0,0,0,0,0,4638004,0,4638004,
"Overseas visitor",0,0,0,0,0,0,0,0,0,0,0,61860,61860,
"Total",1645769,2886921,1554313,1382205,1525311,986433,755863,1086120,133815,92659,13373380,61860,25484656,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
